cfd_id,financial_year,strike_price_GBP_per_MWh
AAA-ACH-183,2019,92.80
AAA-ACH-183,2020,94.46
AAA-ACH-183,2021,95.16
AAA-BAD-185,2018,91.94
AAA-BAD-185,2019,93.92
AAA-BAD-185,2020,96.37
AAA-BAD-185,2021,98.23
AAA-BAN-189,2018,91.94
AAA-BAN-189,2019,93.92
AAA-BAN-189,2020,96.37
AAA-BAN-189,2021,98.23
AAA-BAN-190,2018,91.14
AAA-BAN-190,2019,92.80
AAA-BAN-190,2020,94.46
AAA-BAN-190,2021,95.16
AAA-BAN-192,2018,91.94
AAA-BAN-192,2019,93.92
AAA-BAN-192,2020,96.37
AAA-BAN-192,2021,98.23
AAA-BRE-177,2018,87.53
AAA-BRE-177,2019,89.12
AAA-BRE-177,2020,90.72
AAA-BRE-177,2021,91.39
AAA-CAM-197,2017,85.02
AAA-CAM-197,2018,87.53
AAA-CAM-197,2019,89.12
AAA-CAM-197,2020,90.72
AAA-CAM-197,2021,91.39
AAA-CLO-186,2019,92.80
AAA-CLO-186,2020,94.46
AAA-CLO-186,2021,95.16
AAA-COI-196,2019,92.80
AAA-COI-196,2020,94.46
AAA-COI-196,2021,95.16
AAA-COM-191,2019,92.80
AAA-COM-191,2020,94.46
AAA-COM-191,2021,95.16
AAA-DOR-182,2018,91.94
AAA-DOR-182,2019,93.92
AAA-DOR-182,2020,96.37
AAA-DOR-182,2021,98.23
AAA-ENE-171,2019,134.86
AAA-ENE-171,2020,137.27
AAA-K3C-180,2020,91.60
AAA-K3C-180,2021,92.28
AAA-LIG-176,2016,83.42
AAA-LIG-176,2017,85.02
AAA-LIG-176,2018,87.53
AAA-LIG-176,2019,89.12
AAA-LIG-176,2020,90.72
AAA-LIG-176,2021,91.39
AAA-MYN-178,2018,88.37
AAA-MYN-178,2019,89.98
AAA-MYN-178,2020,91.59
AAA-MYN-178,2021,92.26
AAA-NAN-184,2019,92.80
AAA-NAN-184,2020,94.46
AAA-NAN-184,2021,95.16
AAA-PNE-187,2020,96.37
AAA-PNE-187,2021,98.23
AAA-SOL-181,2020,94.46
AAA-SOL-181,2021,95.16
AR2-TKN-103,2021,88.59
AR2-TKN-203,2021,88.59
CAA-EAS-166,2019,136.08
CAA-EAS-166,2020,139.35
CAA-EAS-166,2021,141.63
CAA-EAS-167,2019,136.08
CAA-EAS-167,2020,139.35
CAA-EAS-167,2021,141.63
CAA-EAS-168,2020,139.35
CAA-EAS-168,2021,141.63
INV-BEA-001,2018,155.53
INV-BEA-001,2019,158.73
INV-BEA-001,2020,162.33
INV-BEA-001,2021,164.73
INV-BEA-002,2019,158.73
INV-BEA-002,2020,162.33
INV-BEA-002,2021,164.73
INV-BUR-001,2017,161.71
INV-BUR-001,2018,166.59
INV-BUR-001,2019,170.03
INV-BUR-001,2020,173.96
INV-BUR-001,2021,176.57
INV-DRX-001,2016,105.88
INV-DRX-001,2017,108.02
INV-DRX-001,2018,111.29
INV-DRX-001,2019,113.65
INV-DRX-001,2020,116.49
INV-DRX-001,2021,118.54
INV-DUD-001,2017,161.71
INV-DUD-001,2018,166.59
INV-DUD-001,2019,170.03
INV-DUD-001,2020,173.96
INV-DUD-001,2021,176.57
INV-DUD-002,2017,161.71
INV-DUD-002,2018,166.59
INV-DUD-002,2019,170.03
INV-DUD-002,2020,173.96
INV-DUD-002,2021,176.57
INV-DUD-003,2017,161.71
INV-DUD-003,2018,166.59
INV-DUD-003,2019,170.03
INV-DUD-003,2020,173.96
INV-DUD-003,2021,176.57
INV-HOR-001,2019,158.75
INV-HOR-001,2020,162.47
INV-HOR-001,2021,164.96
INV-HOR-002,2019,158.75
INV-HOR-002,2020,162.47
INV-HOR-002,2021,164.96
INV-HOR-003,2020,162.47
INV-HOR-003,2021,164.96
INV-LYN-001,2018,116.82
INV-LYN-001,2019,119.29
INV-LYN-001,2020,122.23
INV-LYN-001,2021,124.35
INV-WAL-001,2017,161.71
INV-WAL-001,2018,166.59
INV-WAL-001,2019,170.03
INV-WAL-001,2020,173.96
INV-WAL-001,2021,176.57
INV-WAL-002,2018,166.59
INV-WAL-002,2019,170.03
INV-WAL-002,2020,173.96
INV-WAL-002,2021,176.57
